28,19
28,20
28,21
28,22
28,23
29,19
29,20
29,21
29,22
29,23
30,19
30,20
30,21
30,22
30,23
31,19
31,20
31,21
31,22
31,23
32,19
32,20
32,21
32,22
32,23
9,16
9,17
9,18
9,19
9,20
10,16
10,17
10,18
10,19
11,16
11,17
11,18
11,19
12,19
13,19
49,7
50,7
51,6
51,7
51,8
51,9
51,10
52,6
52,7
52,8
52,9
52,10
53,6
53,7
53,8
53,9
53,10
61,1
61,2
61,3
61,4
62,1
62,2
62,3
62,4
63,1
63,2
63,3
63,4
64,1
64,2
64,3
64,4
65,1
65,2
65,3
65,4
1,3
1,4
1,5
1,6
2,2
2,3
2,4
2,5
2,6
3,2
3,3
3,4
3,5
3,6
4,2
4,3
4,4
4,5
4,6
58,17
59,17
60,17
60,18
60,19
60,20
61,17
61,18
61,19
61,20
62,17
62,18
62,19
62,20
